         16367159 function calls (16039132 primitive calls) in 18.579 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3776    0.097    0.000    0.157    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:1935(delete)
     7127    0.055    0.000    0.153    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:1146(take)
    33388    0.131    0.000    0.152    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:5323(__contains__)
    62780    0.032    0.000    0.151    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:7593(ensure_index)
     1851    0.037    0.000    0.150    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/calibration.py:910(predict)
     4936    0.025    0.000    0.150    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:1643(fillna)
    54219    0.038    0.000    0.149    0.000 {built-in method builtins.all}
     3936    0.030    0.000    0.147    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/ops/array_ops.py:288(comparison_op)
      617    0.023    0.000    0.143    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/groupby/grouper.py:846(get_grouper)
    53679    0.041    0.000    0.142    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:497(get_namespace)
    13574    0.031    0.000    0.141    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/base.py:539(__sklearn_tags__)
      786    0.010    0.000    0.139    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:2259(_consolidate)
    15040    0.107    0.000    0.138    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:1760(np_can_hold_element)
     5277    0.085    0.000    0.136    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexers/utils.py:239(maybe_convert_indices)
    89550    0.046    0.000    0.134    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:831(_values)
      617    0.029    0.000    0.133    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/sorting.py:611(get_indexer_dict)
      617    0.005    0.000    0.132    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/base.py:1177(factorize)
    27994    0.056    0.000    0.129    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/_config/config.py:127(_get_single_key)
     8638    0.019    0.000    0.129    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:1635(_is_fitted)
     8712    0.034    0.000    0.126    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
      618    0.002    0.000    0.125    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:6162(get_indexer_for)
    11106    0.006    0.000    0.125    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:927(<genexpr>)
    27132    0.036    0.000    0.125    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/common.py:137(is_object_dtype)
    22855    0.033    0.000    0.124    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:5552(equals)
     3702    0.014    0.000    0.122    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:415(unique_values)
    68527    0.094    0.000    0.122    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:5373(__getitem__)
    37944    0.078    0.000    0.121    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:734(name)
     1851    0.003    0.000    0.121    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/ensemble/_gb.py:607(_check_initialized)
   249653    0.085    0.000    0.120    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:909(__len__)
    24760    0.042    0.000    0.119    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:1220(_get_value)
     1851    0.018    0.000    0.119    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/multiclass.py:129(is_multilabel)
